WERD,LENGTHofWERD,INITIAL,FREQEST,GROUP,INVENTORY,CONTAINS,MASQ
CROSSBIRTHS,11,C,0,1,8,BCHIORST,3736332
CRUISEWAYS,10,C,0,1,9,ACEIRSUWY,89653802
CRYPTOMETERS,12,C,0,1,9,CEMOPRSTY,70983720
CUBBIEST,8,C,0,1,7,BCEISTU,7340588
CUMARONES,9,C,0,1,9,ACEMNORSU,5857322
CUMULATELY,10,C,0,1,8,ACELMTUY,73412650
CUPRAMMONIUMS,13,C,0,1,10,ACIMNOPRSU,5988874
CURRIERIES,10,C,0,1,6,CEIRSU,5767720
CURVILINEALLY,13,C,0,1,10,ACEILNRUVY,80237098
CYANURETS,9,C,0,1,9,ACENRSTUY,74989610
DAMBOARD,8,D,0,1,6,ABDMOR,598038
DAUNERING,9,D,0,1,8,ADEGINRU,4735666
DEAMINISING,11,D,0,1,8,ADEGIMNS,1073842
DECASUALISING,13,D,0,1,10,ACDEGILNSU,5264058
DECEREBRIZED,12,D,0,1,7,BCDEIRZ,134742588
DECOLORISERS,12,D,0,1,8,CDEILORS,1643064
DECURVATION,11,D,0,1,11,ACDEINORTUV,15286842
DEPOLISHES,10,D,0,1,8,DEHILOPS,1250096
DEPRESSOMOTORS,14,D,0,1,8,DEMOPRST,3874864
DESILVERIZES,12,D,0,1,8,DEILRSVZ,144183856
DEUTEROPLASMS,13,D,0,1,11,ADELMOPRSTU,8073266
DEUTOPLASTIC,12,D,0,1,11,ACDEILOPSTU,7541306
DEZINCKING,10,D,0,1,8,CDEGIKNZ,134236856
DICARPELLARY,12,D,0,1,9,ACDEILPRY,67768890
DICTYOGENS,10,D,0,1,10,CDEGINOSTY,70337208
DIECIOUSNESS,12,D,0,1,8,CDEINOSU,5325368
DIMYARY,7,D,0,1,6,ADIMRY,67641874
DIPLOMATIZES,12,D,0,1,11,ADEILMOPSTZ,137572914
DISCOUNSELS,11,D,0,1,9,CDEILNOSU,5329464
DISNATURALIZED,14,D,0,1,11,ADEILNRSTUZ,142103090
DISPAUPERIZING,14,D,0,1,11,ADEGINPRSUZ,140133042
DISULPHURET,11,D,0,1,10,DEHILPRSTU,8000304
DITRIGLYPHIC,12,D,0,1,10,CDGHILPRTY,69866392
DYESTERS,8,D,0,1,6,DERSTY,70778928
DYNAMOGENIES,12,D,0,1,10,ADEGIMNOSY,68248242
EBURNIFICATION,14,E,0,1,11,ABCEFINORTU,6898286
EDUCABILITIES,13,E,0,1,10,ABCDEILSTU,7344702
EIGHTFOIL,9,E,0,1,8,EFGHILOT,2167776
EIRENICONS,10,E,0,1,7,CEINORS,1655336
ELAEOPTENE,10,E,0,1,7,AELNOPT,2314274
ELECTROTINT,11,E,0,1,8,CEILNORT,2708008
ELYTRIGEROUS,12,E,0,1,10,EGILORSTUY,75043488
EMPYREUMATIZED,14,E,0,1,11,ADEIMPRTUYZ,208282162
EMULSIONIZES,12,E,0,1,9,EILMNOSUZ,139555360
ENSEPULCHRES,12,E,0,1,9,CEHLNPRSU,5919016
EPACRISES,9,E,0,1,7,ACEIPRS,1704490
EPICUREANISMS,13,E,0,1,10,ACEIMNPRSU,5923370
EPIPLOONS,9,E,0,1,7,EILNOPS,1266208
EPITHETING,10,E,0,1,7,EGHINPT,2245536
EUCAINS,7,E,0,1,7,ACEINSU,5259818
EUCHLORIN,9,E,0,1,9,CEHILNORU,4805416
EXACERBESCENCE,14,E,0,1,8,ABCENRSX,35143726
EXCURSIONIZED,13,E,0,1,11,CDEINORSUXZ,173621816
EXPANSIBLY,10,E,0,1,10,ABEILNPSXY,101863974
FESTOLOGIES,11,F,0,1,8,EFGILOST,3216096
FIBROLITES,10,F,0,1,9,BEFILORST,3740260
FLAGITATED,10,F,0,1,8,ADEFGILT,2102002
FOUDRIES,8,F,0,1,8,DEFIORSU,5833328
FRANKLINITES,12,F,0,1,10,AEFIKLNRST,3693154
FURFUROUS,9,F,0,1,5,FORSU,5832768
GADROONINGS,11,G,0,1,8,ADGINORS,1655442
GEITED,6,G,0,2,5,DEGIT,2097840
GEMMIEST,8,G,0,1,6,EGIMST,3154592
GEMMIPAROUSLY,13,G,0,1,12,AEGILMOPRSUY,73085602
GERMANITES,10,G,0,1,9,AEGIMNRST,3695266
GESNERIAS,9,G,0,1,7,AEGINRS,1589922
GLEGGER,7,G,0,1,4,EGLR,528544
GLEGGEST,8,G,0,1,5,EGLST,3149984
GLUMIFEROUS,11,G,0,1,10,EFGILMORSU,5845728
GLYPHOGRAPHS,12,G,0,1,9,AGHLOPRSY,68882818
GONOCOCCOID,11,G,0,1,6,CDGINO,82584
GRASSHOOKS,10,G,0,1,7,AGHKORS,1640834
GRIFFINISM,10,G,0,1,7,FGIMNRS,1598144
GRUMMETED,9,G,0,1,7,DEGMRTU,6824112
GUANIFEROUS,11,G,0,1,10,AEFGINORSU,5849826
GUMMOSITIES,11,G,0,1,8,EGIMOSTU,7414432
HAEMOCONIA,10,H,0,1,8,ACEHIMNO,90922
HARIOLATIONS,12,H,0,1,9,AHILNORST,3756802
HEAPSTEADS,10,H,0,1,7,ADEHPST,3277106
HEBETUDINOSITY,14,H,0,1,11,BDEHINOSTUY,74531636
HEITIKIS,8,H,0,1,6,EHIKST,3148576
HEMIELYTRAL,11,H,0,1,9,AEHILMRTY,69743394
HEMITROPISM,11,H,0,1,9,EHIMOPRST,3875616
HETEROGAMIES,12,H,0,1,10,AEGHIMORST,3744674
HOMOEOTYPIC,11,H,0,1,9,CEHIMOPTY,69411624
HUMMELLING,10,H,0,1,8,EGHILMNU,4223904
HUMOGEN,7,H,0,1,7,EGHMNOU,4284832
HYALOGENS,9,H,0,1,9,AEGHLNOSY,68243874
HYALOMELANE,11,H,0,1,8,AEHLMNOY,67203362
HYGRODEIKS,10,H,0,1,10,DEGHIKORSY,68750256
HYPAESTHESIAS,13,H,0,1,8,AEHIPSTY,70386466
HYPERINOTIC,11,H,0,1,10,CEHINOPRTY,69944104
HYPERMETROPIAS,14,H,0,1,11,AEHIMOPRSTY,70984482
HYPERSARCOSIS,13,H,0,1,10,ACEHIOPRSY,68879146
HYPSOCHROMES,12,H,0,1,9,CEHMOPRSY,68886824
ICHTHYOPSIDANS,14,I,0,1,11,ACDHINOPSTY,70468378
ICOSANDROUS,11,I,0,1,9,ACDINORSU,5849626
ILLIBERALISE,12,I,0,1,7,ABEILRS,1577510
INCRASSATIVE,12,I,0,1,9,ACEINRSTV,12075562
INCROSSBREDS,12,I,0,1,9,BCDEINORS,1655356
INKOSIS,7,I,0,1,5,IKNOS,1133056
INSHEATHING,11,I,0,1,8,AEGHINST,3163042
INSTILLMENTS,12,I,0,1,7,EILMNST,3174944
INTERLAMINATING,15,I,0,1,9,AEGILMNRT,2650786
INTRUSTMENTS,12,I,0,1,8,EIMNRSTU,7889440
IODOPHILE,9,I,0,1,7,DEHILOP,201520
IRENICONS,9,I,0,1,7,CEINORS,1655336
ISENERGIC,9,I,0,1,7,CEGINRS,1589928
ISOCHIMAL,9,I,0,1,8,ACHILMOS,1127178
ISOCHRONIZING,13,I,0,1,9,CGHINORSZ,135873416
ISOTHERALS,10,I,0,1,9,AEHILORST,3740450
JOCUNDEST,9,J,0,2,9,CDEJNOSTU,7423032
JUNEATINGS,10,J,0,1,9,AEGIJNSTU,7358114
KAOLINIZES,10,K,0,1,9,AEIKLNOSZ,135354914
KATABOLISMS,11,K,0,1,9,ABIKLMOST,3226118
KATABOTHRON,11,K,0,1,8,ABHKNORT,2705670
KENSPECK,8,K,0,1,6,CEKNPS,1198120
KILPS,5,K,0,1,5,IKLPS,1186304
KINETONUCLEI,12,K,0,1,9,CEIKLNOTU,6380072
KRAMERIAS,9,K,0,1,7,AEIKMRS,1583650
LABDAS,6,L,0,1,5,ABDLS,1052694
LACTOSCOPES,11,L,0,1,8,ACELOPST,3346474
LAMELLATELY,11,L,0,1,6,AELMTY,69218338
LAMIGER,7,L,0,1,7,AEGILMR,537250
LANOLATED,9,L,0,1,7,ADELNOT,2183218
LAURDALITES,11,L,0,1,9,ADEILRSTU,7868978
LAURVIKITES,11,L,0,1,10,AEIKLRSTUV,16259618
LEPIDOMELANES,13,L,0,1,10,ADEILMNOPS,1274418
LEUCORRHOEAS,12,L,0,1,9,ACEHLORSU,5837098
LIMNAEIDS,9,L,0,1,8,ADEILMNS,1077810
LITHOTRIPTISTS,14,L,0,1,8,HILOPRST,3871488
LOCULAMENT,10,L,0,1,9,ACELMNOTU,6385706
LOCULAMENTS,11,L,0,1,10,ACELMNOSTU,7434282
LYOMEROUS,9,L,0,3,8,ELMORSUY,72953888
LYSIGENETIC,11,L,0,1,9,CEGILNSTY,70275752
MACROPINACOIDS,14,M,0,1,10,ACDIMNOPRS,1794586
MACROPRISMS,11,M,0,1,8,ACIMOPRS,1778186
MARSIPOBRANCH,13,M,0,1,11,ABCHIMNOPRS,1794830
MATRONSHIPS,11,M,0,1,10,AHIMNOPRST,3891970
MEIONITES,9,M,0,1,7,EIMNOST,3236384
MEKOMETERS,10,M,0,1,7,EKMORST,3745824
METEOROGRAMS,12,M,0,1,8,AEGMORST,3743906
MEZCALINE,9,M,0,1,8,ACEILMNZ,134246954
MIASMOUS,8,M,0,1,6,AIMOSU,5317122
MICROTOMICAL,12,M,0,1,8,ACILMORT,2699786
MISGAGED,8,M,0,1,7,ADEGIMS,1057458
MISGAGING,9,M,0,1,6,AGIMNS,1073794
MISLIGHTED,10,M,0,1,9,DEGHILMST,3158960
MONAULS,7,M,0,1,7,ALMNOSU,5337090
MORRHUAS,8,M,0,1,7,AHMORSU,5841154
MUDIRIEHS,9,M,0,1,8,DEHIMRSU,5776176
MULTICAMERATE,13,M,0,1,9,ACEILMRTU,6828586
MUNGOES,7,M,0,1,7,EGMNOSU,5333152
NAIFER,6,N,0,1,6,AEFINR,541282
NAPHTHALIZE,11,N,0,1,9,AEHILNPTZ,136467234
NAUPLIIFORM,11,N,0,1,10,AFILMNOPRU,4944450
NAYTHLES,8,N,0,1,8,AEHLNSTY,70275362
NEMERTIANS,10,N,0,1,8,AEIMNRST,3695138
NEPHRECTOMIZING,15,N,0,1,12,CEGHIMNOPRTZ,137061288
NEURATIONS,10,N,0,1,9,AEINORSTU,7946786
NEUROPATHISTS,13,N,0,1,11,AEHINOPRSTU,8078114
NIDAMENTA,9,N,0,1,7,ADEIMNT,2122290
NITROCOTTONS,12,N,0,1,7,CINORST,3752456
NITROMETRIC,11,N,0,1,8,CEIMNORT,2712104
NONELECTRICALS,14,N,0,1,10,ACEILNORST,3756586
NOTAEUM,7,N,0,1,7,AEMNOTU,6381602
NOTCHEL,7,N,0,1,7,CEHLNOT,2183464
NUMMULATED,10,N,0,1,8,ADELMNTU,6320178
NUMMULINE,9,N,0,1,6,EILMNU,4223520
OBSOLETIONS,11,O,0,1,8,BEILNOST,3232292
OLEOMARGARINS,13,O,0,1,10,AEGILMNORS,1667746
OPHTHALMISTS,12,O,0,1,9,AHILMOPST,3355394
ORTHOPRISM,10,O,0,1,8,HIMOPRST,3875584
ORTHOPRISMS,11,O,0,1,8,HIMOPRST,3875584
ORVALS,6,O,0,1,6,ALORSV,10031106
OSTRACODOUS,11,O,0,1,8,ACDORSTU,7929882
OTORRHOEAS,10,O,0,1,7,AEHORST,3735842
OUTPEEPING,10,O,0,1,8,EGINOPTU,6505120
OUTWICKING,10,O,0,1,9,CGIKNOTUW,23153288
OWELTIES,8,O,0,1,7,EILOSTW,19993120
PANESTHESIAS,12,P,0,1,8,AEHINPST,3293986
PAPERWARES,10,P,0,1,6,AEPRSW,18481186
PARARTHRIA,10,P,0,1,6,AHIPRT,2753282
PARCHMENTIZES,13,P,0,1,12,ACEHIMNPRSTZ,138044202
PAROTITIDES,11,P,0,1,9,ADEIOPRST,3867186
PARTURIFACIENTS,15,P,0,1,11,ACEFINPRSTU,8012394
PATHOPHOBIAS,12,P,0,1,8,ABHIOPST,3343110
PECTIZING,9,P,0,1,8,CEGINPTZ,136463016
PELORIES,8,P,0,1,7,EILOPRS,1774112
PENEPLANATIONS,14,P,0,1,9,AEILNOPST,3363362
PENGUINERY,10,P,0,1,8,EGINPRUY,71975584
PENNATULAE,10,P,0,1,7,AELNPTU,6443042
PEPTIZATIONS,12,P,0,1,9,AEINOPSTZ,137576994
PEPTONISES,10,P,0,1,7,EINOPST,3359264
PERIGONES,9,P,0,1,8,EGINOPRS,1786528
PERINAEUMS,10,P,0,1,9,AEIMNPRSU,5923362
PETAURISTS,10,P,0,1,8,AEIPRSTU,7995938
PHAENOTYPES,11,P,0,1,9,AEHNOPSTY,70467874
PHAGOCYTISM,11,P,0,1,11,ACGHIMOPSTY,70460298
PHELLOGENETIC,13,P,0,1,10,CEGHILNOPT,2315176
PHENARSAZINES,13,P,0,1,9,AEHINPRSZ,135938850
PHENOGAM,8,P,0,1,8,AEGHMNOP,221602
PHOSPHORETS,11,P,0,1,7,EHOPRST,3866912
PLANIGRAPHS,11,P,0,1,9,AGHILNPRS,1725314
PLANOBLASTS,11,P,0,1,8,ABLNOPST,3362822
PLASMOSOMA,10,P,0,1,6,ALMOPS,1257474
PLEURODYNIAS,12,P,0,1,12,ADEILNOPRSUY,73093682
PLUMOSITIES,11,P,0,1,9,EILMOPSTU,7549472
PLUMULARIANS,12,P,0,1,9,AILMNPRSU,5927426
PLUMULATE,9,P,0,1,7,AELMPTU,6434850
PLUSAGES,8,P,0,1,7,AEGLPSU,5378210
POLLIWIG,8,P,0,1,6,GILOPW,16978560
PONCEAUX,8,P,0,1,8,ACENOPUX,37961770
PRELATIZE,9,P,0,1,8,AEILPRTZ,136974882
PRESCUTA,8,P,0,1,8,ACEPRSTU,7995434
PRIMULINES,10,P,0,1,9,EILMNPRSU,5927456
PROCARYONS,10,P,0,1,8,ACNOPRSY,68894730
PROPODEON,9,P,0,1,6,DENOPR,737328
PROTHETICALLY,13,P,0,1,11,ACEHILOPRTY,69931818
PROVIANTS,9,P,0,1,9,AINOPRSTV,12272130
PSELLISMUS,10,P,0,1,7,EILMPSU,5386784
PSEUDIMAGOS,11,P,0,1,10,ADEGIMOPSU,5448370
PTYALISED,9,P,0,1,9,ADEILPSTY,70390322
PUDDIER,7,P,0,1,6,DEIPRU,4850224
PULVERATION,11,P,0,1,11,AEILNOPRTUV,15421986
PYCNOGONOID,11,P,0,3,8,CDGINOPY,67322520
PYROSES,7,P,0,1,6,EOPRSY,68878368
PYROTARTRATE,12,P,0,1,7,AEOPRTY,69926946
QUACKLES,8,Q,0,1,8,ACEKLQSU,5511210
QUADRICONE,10,Q,0,1,10,ACDEINOQRU,5063226
QUADRIENNIA,11,Q,0,1,8,ADEINQRU,4997682
QUADRIPHONICS,13,Q,0,1,12,ACDHINOPQRSU,6243098
QUANTIVALENCES,14,Q,0,1,11,ACEILNQSTUV,16011818
QUIETIVES,9,Q,0,1,7,EIQSTUV,15991328
RABANNAS,8,R,0,1,5,ABNRS,1589254
RANCELLING,10,R,0,1,8,ACEGILNR,545450
RATHRIPE,8,R,0,1,7,AEHIPRT,2753314
RECONVALESCED,13,R,0,1,10,ACDELNORSV,10047546
RELUCTATING,11,R,0,1,10,ACEGILNRTU,6836906
REPELLANCES,11,R,0,1,8,ACELNPRS,1724458
RESTORABLENESS,14,R,0,1,9,ABELNORST,3756070
RHEOCORDS,9,R,0,1,7,CDEHORS,1638712
RHEOTROPES,10,R,0,1,7,EHOPRST,3866912
RHEOTROPISMS,12,R,0,1,9,EHIMOPRST,3875616
RHOMBPORPHYRY,13,R,0,1,7,BHMOPRY,67838212
RILLMARKS,9,R,0,1,7,AIKLMRS,1587714
ROENTGENIZING,13,R,0,1,8,EGINORTZ,136921760
RONTGENIZATION,14,R,0,1,9,AEGINORTZ,136921762
RONTGENOGRAPH,13,R,0,1,9,AEGHNOPRT,2834850
RONTGENOGRAPHS,14,R,0,1,10,AEGHNOPRST,3883426
RONTGENOLOGIST,14,R,0,1,9,EGILNORST,3756704
RONTGENOLOGISTS,15,R,0,1,9,EGILNORST,3756704
RONTGENOSCOPIC,14,R,0,1,10,CEGINOPRST,3883688
RONTGENOTHERAPY,15,R,0,1,10,AEGHNOPRTY,69943714
SAIKEIS,7,S,0,3,5,AEIKS,1051170
SALIFIES,8,S,0,1,6,AEFILS,1053282
SANGUIFYING,11,S,0,1,8,AFGINSUY,72368834
SAPREMIC,8,S,0,1,8,ACEIMPRS,1712682
SARTORIAN,9,S,0,1,7,AINORST,3752450
SAUSSURITES,11,S,0,1,7,AEIRSTU,7864866
SCHALSTEINS,11,S,0,1,9,ACEHILNST,3167018
SCHMALZIEST,11,S,0,1,10,ACEHILMSTZ,137376554
SCINCOIDIANS,12,S,0,4,7,ACDINOS,1131034
SCOLECID,8,S,0,1,7,CDEILOS,1118776
SCOLECIDS,9,S,0,1,7,CDEILOS,1118776
SCRIVEBOARD,11,S,0,1,10,ABCDEIORSV,10027582
SDEIGNFULLY,11,S,0,1,10,DEFGILNSUY,72372976
SEASICKEST,10,S,0,1,7,ACEIKST,3148330
SEASONALNESS,12,S,0,1,6,AELNOS,1134626
SEBORRHOEAS,11,S,0,1,7,ABEHORS,1638694
SECTIONISING,12,S,0,1,8,CEGINOST,3228328
SEISMOSCOPIC,12,S,0,1,7,CEIMOPS,1253928
SERICTERIA,10,S,0,1,7,ACEIRST,3670570
SERRADILLA,10,S,0,1,7,ADEILRS,1577522
SHERARDIZATION,14,S,0,1,11,ADEHINORSTZ,137970482
SIGILLARID,10,S,0,1,7,ADGILRS,1577618
SILKGROWER,10,S,0,1,9,EGIKLORSW,18422432
SINUPALLIAL,11,S,0,1,7,AILNPSU,5394946
SITTINES,8,S,0,2,5,EINST,3162656
SKIATRONS,9,S,0,1,8,AIKNORST,3754498
SMOOTHPATES,11,S,0,1,8,AEHMOPST,3350818
SOGDOLOGER,10,S,0,1,7,DEGLORS,1642672
SOLIDUNGULATES,14,S,0,1,11,ADEGILNOSTU,7426738
SOOTFLAKE,9,S,0,1,8,AEFKLOST,3217506
SORBITIZED,10,S,0,1,9,BDEIORSTZ,137953844
SOWBACKS,8,S,0,1,7,ABCKOSW,17893390
SPANAEMIC,9,S,0,1,8,ACEIMNPS,1204778
SPERMAPHYTE,11,S,0,1,9,AEHMPRSTY,70918434
SPHACELATING,12,S,0,1,11,ACEGHILNPST,3298218
SPILOSITES,10,S,0,1,7,EILOPST,3346976
SPINIGRADE,10,S,0,4,9,ADEGINPRS,1721010
SPLENISATION,12,S,0,1,9,AEILNOPST,3363362
SPOROZOIC,9,S,0,1,7,CIOPRSZ,135987720
SQUAMELLAS,10,S,0,1,7,AELMQSU,5517346
STEGOMYIAS,10,S,0,1,9,AEGIMOSTY,70328994
STENOPAEIC,10,S,0,1,9,ACEINOPST,3359274
STERNOTRIBE,11,S,0,1,8,BEINORST,3752484
STREETAGE,9,S,0,1,6,AEGRST,3670178
SUBACETATES,11,S,0,1,7,ABCESTU,7340078
SUBACIDITIES,12,S,0,1,9,ABCDEISTU,7340606
SUBMINIATURIZE,14,S,0,1,11,ABEIMNRSTUZ,142107174
SUBSTYLAR,9,S,0,1,8,ABLRSTUY,74977286
SUCCESSLESSLY,13,S,0,1,6,CELSUY,72355880
SUGHING,7,S,0,1,6,GHINSU,5260160
SULPHURETING,12,S,0,1,11,EGHILNPRSTU,8016800
SUSPERCOLLATED,14,S,0,1,11,ACDELOPRSTU,8065082
SWIVELBLOCK,11,S,0,1,10,BCEIKLOSVW,26286636
SYNCHRONOSCOPES,15,S,0,1,9,CEHNOPRSY,68895016
SYNTONINS,9,S,0,1,6,INOSTY,70337024
TAMBURINS,9,T,0,1,9,ABIMNRSTU,7889414
TELEPHEMES,10,T,0,4,7,EHLMPST,3289376
TELESEMES,9,T,0,1,5,ELMST,3158048
TELEUTOSPORIC,13,T,0,1,10,CEILOPRSTU,8065576
TELPHERMAN,10,T,0,1,9,AEHLMNPRT,2781474
TENIACIDES,10,T,0,1,8,ACDEINST,3162682
THORIANITES,11,T,0,1,9,AEHINORST,3752738
THYSANUROUS,11,T,0,1,9,AHNORSTUY,75055362
TOBOGGINING,11,T,0,1,6,BGINOT,2179716
TONNAGS,7,T,0,1,6,AGNOST,3227778
TRAPPOSE,8,T,0,1,7,AEOPRST,3866658
TRIPHYLITES,11,T,0,1,9,EHILPRSTY,70914848
TRIRADIATELY,12,T,0,1,8,ADEILRTY,69734962
TRITUBERCULISM,14,T,0,1,10,BCEILMRSTU,7877164
TROPAEOLINS,11,T,0,1,10,AEILNOPRST,3887650
TUBERCULIZE,11,T,0,1,9,BCEILRTUZ,141038124
TUBERCULIZING,13,T,0,1,11,BCEGILNRTUZ,141054636
TUNGSTOUS,9,T,0,1,6,GNOSTU,7422080
UMBONATION,10,U,0,1,8,ABIMNOTU,6382086
UNASCENDIBLE,12,U,0,1,10,ABCDEILNSU,5263934
UNDERVIEWERS,12,U,0,1,9,DEINRSUVW,30949936
UNGEARS,7,U,0,1,7,AEGNRSU,5783714
UNHEALTHINESSES,15,U,0,1,9,AEHILNSTU,7361314
UNICOLORATE,11,U,0,1,10,ACEILNORTU,6902314
UNLOVELINESSES,14,U,0,1,8,EILNOSUV,13718048
UNMERRIER,9,U,0,1,6,EIMNRU,4743712
UNPAPERS,8,U,0,1,7,AENPRSU,5914658
UNSALABLY,9,U,0,1,7,ABLNSUY,72372230
UPGIRDING,9,U,0,1,7,DGINPRU,4866704
